cs_id,season,round,constructor_id,points,position,wins
1,2014,19,mercedes,701.0,1,16
2,2014,19,red_bull,405.0,2,3
3,2014,19,williams,320.0,3,0
4,2014,19,ferrari,216.0,4,0
5,2014,19,mclaren,181.0,5,0
6,2014,19,force_india,155.0,6,0
7,2014,19,toro_rosso,30.0,7,0
8,2014,19,lotus_f1,10.0,8,0
9,2014,19,marussia,2.0,9,0
10,2014,19,sauber,0.0,10,0
11,2014,19,caterham,0.0,11,0
12,2015,19,mercedes,703.0,1,16
13,2015,19,ferrari,428.0,2,3
14,2015,19,williams,257.0,3,0
15,2015,19,red_bull,187.0,4,0
16,2015,19,force_india,136.0,5,0
17,2015,19,lotus_f1,78.0,6,0
18,2015,19,toro_rosso,67.0,7,0
19,2015,19,sauber,36.0,8,0
20,2015,19,mclaren,27.0,9,0
21,2015,19,manor,0.0,10,0
22,2016,21,mercedes,765.0,1,19
23,2016,21,red_bull,468.0,2,2
24,2016,21,ferrari,398.0,3,0
25,2016,21,force_india,173.0,4,0
26,2016,21,williams,138.0,5,0
27,2016,21,mclaren,76.0,6,0
28,2016,21,toro_rosso,63.0,7,0
29,2016,21,haas,29.0,8,0
30,2016,21,renault,8.0,9,0
31,2016,21,sauber,2.0,10,0
32,2016,21,manor,1.0,11,0
33,2017,20,mercedes,668.0,1,12
34,2017,20,ferrari,522.0,2,5
35,2017,20,red_bull,368.0,3,3
36,2017,20,force_india,187.0,4,0
37,2017,20,williams,83.0,5,0
38,2017,20,renault,57.0,6,0
39,2017,20,toro_rosso,53.0,7,0
40,2017,20,haas,47.0,8,0
41,2017,20,mclaren,30.0,9,0
42,2017,20,sauber,5.0,10,0
43,2018,21,mercedes,655.0,1,11
44,2018,21,ferrari,571.0,2,6
45,2018,21,red_bull,419.0,3,4
46,2018,21,renault,122.0,4,0
47,2018,21,force_india,111.0,5,0
48,2018,21,haas,93.0,6,0
49,2018,21,mclaren,62.0,7,0
50,2018,21,sauber,48.0,8,0
51,2018,21,toro_rosso,33.0,9,0
52,2018,21,williams,7.0,10,0
53,2019,21,mercedes,739.0,1,15
54,2019,21,ferrari,504.0,2,3
55,2019,21,red_bull,417.0,3,3
56,2019,21,mclaren,145.0,4,0
57,2019,21,renault,91.0,5,0
58,2019,21,toro_rosso,85.0,6,0
59,2019,21,racing_point,73.0,7,0
60,2019,21,alfa,57.0,8,0
61,2019,21,haas,28.0,9,0
62,2019,21,williams,1.0,10,0
63,2020,17,mercedes,573.0,1,13
64,2020,17,red_bull,319.0,2,2
65,2020,17,mclaren,202.0,3,0
66,2020,17,racing_point,195.0,4,1
67,2020,17,renault,181.0,5,0
68,2020,17,ferrari,131.0,6,0
69,2020,17,alphatauri,107.0,7,1
70,2020,17,alfa,8.0,8,0
71,2020,17,haas,3.0,9,0
72,2020,17,williams,0.0,10,0
73,2021,22,mercedes,613.5,1,9
74,2021,22,red_bull,585.5,2,11
75,2021,22,ferrari,323.5,3,0
76,2021,22,mclaren,275.0,4,1
77,2021,22,alpine,155.0,5,1
78,2021,22,alphatauri,142.0,6,0
79,2021,22,aston_martin,77.0,7,0
80,2021,22,williams,23.0,8,0
81,2021,22,alfa,13.0,9,0
82,2021,22,haas,0.0,10,0
83,2022,22,red_bull,759.0,1,17
84,2022,22,ferrari,554.0,2,4
85,2022,22,mercedes,515.0,3,1
86,2022,22,alpine,173.0,4,0
87,2022,22,mclaren,159.0,5,0
88,2022,22,alfa,55.0,6,0
89,2022,22,aston_martin,55.0,7,0
90,2022,22,haas,37.0,8,0
91,2022,22,alphatauri,35.0,9,0
92,2022,22,williams,8.0,10,0
93,2023,22,red_bull,860.0,1,21
94,2023,22,mercedes,409.0,2,0
95,2023,22,ferrari,406.0,3,1
96,2023,22,mclaren,302.0,4,0
97,2023,22,aston_martin,280.0,5,0
98,2023,22,alpine,120.0,6,0
99,2023,22,williams,28.0,7,0
100,2023,22,alphatauri,25.0,8,0
101,2023,22,alfa,16.0,9,0
102,2023,22,haas,12.0,10,0
103,2024,24,mclaren,666.0,1,6
104,2024,24,ferrari,652.0,2,5
105,2024,24,red_bull,589.0,3,9
106,2024,24,mercedes,468.0,4,4
107,2024,24,aston_martin,94.0,5,0
108,2024,24,alpine,65.0,6,0
109,2024,24,haas,58.0,7,0
110,2024,24,rb,46.0,8,0
111,2024,24,williams,17.0,9,0
112,2024,24,sauber,4.0,10,0
